x,y,sigma,"F[1](x)","F[2](x)","F[3](x)","F[4](x)","F[5](x)","F[6](x)","F[7](x)","F(x)","y-F(x)","abs(y-F(x))","(y-F(x))/s"
0.7,4257.32,74.4648,5.47045e-107,4.48309e-36,5.21334e-12,4.5762e-10,4255.64,5.82428e-07,1.24134e-27,4255.64,1.67743,1.67743,0.0225265
0.705,4575.8,76.4526,1.50885e-109,2.52119e-37,6.79107e-13,1.52531e-11,4600.01,1.76037e-06,1.11071e-26,4600.01,-24.2039,24.2039,-0.316587
0.71,4691.41,77.0779,3.88809e-112,1.35401e-38,8.36102e-14,4.17184e-13,4727.83,5.15869e-06,9.60179e-26,4727.83,-36.415,36.415,-0.472445
0.715,4512.05,75.7694,9.36044e-115,6.94425e-40,9.72925e-15,9.36298e-15,4620.34,1.46571e-05,8.01937e-25,4620.34,-108.292,108.292,-1.42924
0.72,4344.64,74.5117,2.10536e-117,3.40109e-41,1.07004e-15,1.72432e-16,4293.36,4.03765e-05,6.47093e-24,4293.36,51.2754,51.2754,0.688152
0.725,3746.07,70.2211,4.42409e-120,1.59074e-42,1.11229e-16,2.60577e-18,3793.41,0.000107841,5.04465e-23,3793.41,-47.348,47.348,-0.674271
0.73,3175.25,65.8559,8.68544e-123,7.10505e-44,1.09278e-17,3.23126e-20,3186.94,0.00027926,3.79955e-22,3186.94,-11.6845,11.6845,-0.177426
0.735,2525.1,60.5227,1.59305e-125,3.03057e-45,1.01473e-18,3.28795e-22,2545.81,0.000701147,2.76486e-21,2545.81,-20.7163,20.7163,-0.342289
0.74,1926.51,55.1362,2.72983e-128,1.23444e-46,8.90562e-20,2.74533e-24,1933.7,0.0017068,1.94379e-20,1933.7,-7.19521,7.19521,-0.130499
0.745,1468.39,50.5668,4.37029e-131,4.80178e-48,7.38716e-21,1.88097e-26,1396.57,0.00402835,1.32028e-19,1396.57,71.8185,71.8185,1.42027
0.75,999.653,45.4203,6.53664e-134,1.78371e-49,5.79149e-22,1.05751e-28,959.058,0.00921819,8.66402e-19,959.067,40.586,40.586,0.893566
0.755,633.202,40.8779,9.13415e-137,6.32751e-51,4.29143e-23,4.87869e-31,626.235,0.0204521,5.49301e-18,626.256,6.9458,6.9458,0.169916
0.76,428.942,37.9605,1.19248e-139,2.14354e-52,3.00547e-24,1.84688e-33,388.813,0.0439948,3.36465e-17,388.857,40.0857,40.0857,1.05598
0.765,200.781,34.4529,1.45446e-142,6.93452e-54,1.9894e-25,5.73709e-36,229.537,0.0917569,1.99116e-16,229.629,-28.8475,28.8475,-0.837304
0.77,76.6255,32.2025,1.65739e-145,2.14235e-55,1.2446e-26,1.46238e-38,128.847,0.185545,1.13844e-15,129.033,-52.4075,52.4075,-1.62744
0.775,50.3807,31.3847,1.76447e-148,6.32052e-57,7.35934e-28,3.05877e-41,68.7715,0.363774,6.28861e-15,69.1353,-18.7546,18.7546,-0.597571
0.78,61.9316,31.1609,1.75498e-151,1.78075e-58,4.11287e-29,5.24989e-44,34.9021,0.691493,3.3561e-14,35.5936,26.338,26.338,0.845228
