"thth","T200","T300","T400","T500","T600","T700","T800","T900"
14.96858,-71.5324,-10.62429,47.16146,107.47422,166.67151,231.8912,308.43194,395.88094
14.98902,-69.25772,-9.44486,46.8837,108.22094,166.70203,232.00958,308.39156,395.68708
15.00947,-69.52876,-10.10317,46.07484,108.0824,166.87375,232.10599,308.31638,395.9076
15.02992,-71.12549,-10.95513,47.92776,106.49339,166.70427,232.24172,308.2303,395.96411
15.05036,-71.76627,-11.40732,47.51979,108.24099,166.77557,231.7925,308.2271,395.73188
15.07081,-69.61214,-9.11341,48.14219,108.52802,166.69979,231.92349,308.49711,395.68708
15.09126,-69.44372,-10.50945,46.43708,108.41089,166.65562,232.09734,308.44374,396.03208
15.1117,-70.86883,-11.87708,47.36385,106.02099,166.75901,232.02625,308.15966,395.84495
15.13215,-70.55824,-9.57844,47.73948,107.77333,166.92438,231.72589,308.02864,395.68708
15.1526,-69.23821,-9.58747,48.44635,108.98542,166.59068,232.10927,308.57428,395.73938
15.17304,-70.34262,-10.50252,47.56073,108.32427,166.87359,231.99453,308.35511,395.75547
15.19349,-71.47609,-11.15556,45.96,106.19375,166.86568,232.03245,308.26957,395.9312
15.21393,-71.66309,-10.48617,47.47354,108.10406,166.68365,231.96984,308.23287,395.68708
15.23438,-70.18643,-9.75458,47.35708,107.79271,166.67469,232.01464,308.45922,395.81911
15.25483,-70.30048,-10.73714,47.17901,109.17443,166.78026,231.8499,308.40524,395.72495
15.27527,-70.46589,-9.98368,46.43854,106.46724,167.0662,231.85068,308.30311,395.76745
15.29572,-70.76819,-10.87293,46.16167,106.30427,166.78182,232.10568,308.44299,395.68708
15.31617,-70.5689,-10.93552,48.48068,108.50198,166.6062,231.95552,308.14292,395.6875
15.33661,-72.28963,-9.53468,46.30964,108.72234,166.65922,232.06792,308.19848,395.80141
15.35706,-70.46133,-10.13348,46.01375,106.92865,166.85807,231.98583,308.24494,395.85875
15.37751,-69.60065,-10.02477,48.57969,107.7099,167.005,232.06792,308.36369,395.81297
15.39795,-70.65474,-11.2326,47.89557,107.78422,166.72979,232.00958,308.20539,395.68708
15.4184,-69.88074,-9.59016,46.61062,108.12828,166.56979,231.94208,308.19071,395.85672
15.43885,-69.40578,-9.83434,45.75885,108.36333,166.7275,232.00958,308.53108,395.90229
15.45929,-69.13536,-11.04107,47.23875,106.34307,166.8212,231.9787,308.15621,395.8726
15.47974,-70.59408,-10.23716,48.23432,107.92375,166.6249,232.03276,307.96381,395.79958
15.50018,-71.44615,-8.9224,46.59755,107.3775,166.79484,232.00958,308.29055,395.68708
15.52063,-69.77284,-9.75233,47.33193,108.24443,166.73573,231.95375,308.51135,395.90292
15.54108,-70.23523,-10.75347,48.12995,106.15234,166.54802,232.10167,308.21925,395.82578
15.56152,-71.64007,-10.66685,47.20583,107.88693,166.80729,231.97089,308.27429,395.86932
15.58197,-70.90146,-9.65768,47.26891,108.31495,166.81646,232.54495,308.20757,395.68708
15.60242,-69.43445,-10.52898,47.20792,107.46854,166.61328,232.09812,308.0827,395.78411
15.62286,-67.98679,-10.48546,47.09073,108.13198,166.73677,231.83229,308.35351,395.79974
15.64331,-70.85466,-10.51378,46.60641,108.6162,166.76031,231.85839,308.33232,395.98323
15.66376,-70.51339,-10.68897,47.96266,107.64953,166.68734,232.13375,308.43111,395.73672
15.6842,-68.60892,-10.05154,48.13365,106.21328,166.61969,231.96052,308.12312,395.75422
15.70465,-70.2751,-9.45399,47.06302,107.55589,166.71927,232.06547,308.31263,395.68708
15.7251,-72.05324,-10.20818,46.24495,108.93661,166.94292,232.00958,308.2132,396.0699
15.74554,-69.8822,-10.2696,47.51083,107.11734,166.66943,231.88859,308.16344,395.84005
15.76599,-69.15967,-9.53371,45.97385,106.62594,166.53182,232.30698,308.32535,395.84328
15.78643,-71.08545,-9.06266,47.61656,107.82563,166.66833,232.01786,308.22623,395.93323
15.80688,-71.42319,-9.95818,47.79276,109.04339,166.88187,232.01328,307.94835,395.68708
15.82733,-69.34902,-9.56847,46.7363,106.77531,166.75964,231.98005,308.23962,395.7575
15.84777,-68.44228,-9.54795,46.54359,107.79031,166.63828,232.11193,308.44373,395.83719
15.86822,-70.20853,-10.12352,47.56229,107.1201,166.66703,231.93391,308.22896,395.8551
15.88867,-69.70856,-10.03549,47.5125,107.3988,167.02901,231.90807,308.24201,395.80771
15.90911,-70.9739,-9.94633,47.43526,108.08437,166.78766,232.1449,308.1689,395.68911
15.92956,-70.99624,-9.58115,46.8837,107.75865,166.86,231.83995,308.25398,395.80891
15.95001,-70.3188,-10.96164,45.89219,107.48266,166.8512,231.98224,308.44129,395.87953
15.97045,-70.67651,-9.23516,46.46677,106.93464,166.64432,232.24609,308.0934,395.68687
15.9909,-69.42091,-9.50574,48.52417,109.31583,166.82161,231.87313,308.0586,395.68708
16.01134,-70.88902,-11.4004,48.00932,109.6413,166.64214,231.7526,308.31634,395.72146
