wavelength,"0","30","60","90"
581.49,0.10297,0.09036,0.06693,0.05717
581.95,0.10277,0.0901,0.06669,0.05706
582.4,0.10255,0.08984,0.06644,0.05694
582.85,0.10231,0.08958,0.06616,0.0568
583.3,0.10204,0.08934,0.06586,0.05661
583.75,0.10177,0.08908,0.06556,0.05638
584.2,0.1015,0.08883,0.06526,0.05615
584.65,0.10121,0.0886,0.06499,0.05595
585.1,0.10093,0.08837,0.06473,0.05573
585.55,0.10068,0.08812,0.06448,0.05555
586,0.10043,0.08787,0.06427,0.05536
586.45,0.10019,0.08766,0.06411,0.05519
586.9,0.09996,0.08744,0.06391,0.05506
587.35,0.09975,0.08718,0.06378,0.05491
587.8,0.09954,0.08691,0.06362,0.0548
588.25,0.09935,0.08663,0.06346,0.05468
588.71,0.09914,0.0864,0.06326,0.05455
589.16,0.09892,0.08615,0.06303,0.05439
589.61,0.0987,0.0859,0.06282,0.05422
590.06,0.09847,0.08564,0.06261,0.05402
590.51,0.09822,0.08537,0.06235,0.0538
590.96,0.09797,0.08511,0.06204,0.05353
591.41,0.0977,0.08485,0.06175,0.05322
591.86,0.09741,0.08452,0.06144,0.0529
592.31,0.09713,0.08419,0.06116,0.05257
592.76,0.09683,0.08381,0.06087,0.05222
593.21,0.09654,0.08342,0.06055,0.0519
593.66,0.09624,0.08301,0.0603,0.05153
594.11,0.09595,0.08261,0.06001,0.05114
594.56,0.09566,0.08219,0.05979,0.05082
595.01,0.09537,0.08181,0.0596,0.05056
595.46,0.09508,0.08142,0.05938,0.05029
595.91,0.09479,0.08103,0.05918,0.05003
596.36,0.09449,0.08064,0.05893,0.04974
596.81,0.09418,0.08029,0.05868,0.04945
597.26,0.09386,0.07995,0.05842,0.04918
597.71,0.09354,0.07964,0.05815,0.04885
598.16,0.09321,0.0793,0.05785,0.04854
598.61,0.09289,0.079,0.05751,0.04821
599.06,0.09256,0.0787,0.05717,0.04789
599.51,0.09223,0.0784,0.05683,0.04758
599.96,0.09191,0.0781,0.05652,0.04727
600.41,0.09159,0.07779,0.05621,0.04695
600.86,0.09128,0.07746,0.05588,0.04664
601.31,0.09096,0.07715,0.05554,0.04633
601.76,0.09066,0.07679,0.05521,0.04605
602.21,0.09037,0.07643,0.05494,0.04583
602.65,0.09009,0.07607,0.05465,0.04568
603.1,0.08983,0.0757,0.05436,0.04551
603.55,0.08957,0.07535,0.05407,0.04535
604,0.08932,0.07503,0.05384,0.04518
604.45,0.08906,0.07474,0.05357,0.04502
604.9,0.0888,0.07448,0.05327,0.0449
605.35,0.08854,0.07422,0.05298,0.04474
605.8,0.08828,0.074,0.05265,0.04458
606.25,0.08801,0.07374,0.05235,0.04441
606.7,0.08775,0.0735,0.05206,0.04424
607.15,0.08749,0.07322,0.0518,0.04401
607.6,0.08725,0.07295,0.05158,0.04382
608.05,0.08701,0.07267,0.05134,0.04356
608.5,0.08679,0.0724,0.05105,0.04329
608.95,0.08657,0.07207,0.0508,0.04301
609.39,0.08636,0.07174,0.05054,0.04268
609.84,0.08615,0.07139,0.05025,0.04239
610.29,0.08592,0.07107,0.04995,0.0421
610.74,0.08568,0.07077,0.04965,0.04178
611.19,0.0854,0.07044,0.04937,0.04151
611.64,0.0851,0.07008,0.04912,0.04121
612.09,0.08477,0.06976,0.04885,0.04092
612.54,0.08441,0.06944,0.04858,0.04063
612.99,0.08403,0.06912,0.04829,0.04032
613.44,0.08363,0.06879,0.04796,0.03998
613.88,0.08322,0.06844,0.04763,0.03967
614.33,0.08281,0.06808,0.0473,0.03937
614.78,0.08242,0.06778,0.04697,0.03906
615.23,0.08204,0.06745,0.04667,0.03879
615.68,0.08169,0.06713,0.04636,0.03852
616.13,0.08136,0.06681,0.04605,0.03826
616.58,0.08105,0.0665,0.04577,0.03806
617.03,0.08075,0.06622,0.0455,0.03792
617.47,0.08047,0.06595,0.04523,0.03775
617.92,0.0802,0.06567,0.04494,0.03759
618.37,0.07992,0.06541,0.04466,0.0374
618.82,0.07964,0.06517,0.04432,0.03723
619.27,0.07937,0.06493,0.04403,0.03711
619.72,0.07909,0.06471,0.04375,0.03699
620.17,0.07882,0.06446,0.04349,0.03686
620.61,0.07854,0.06419,0.0432,0.03673
621.06,0.07827,0.06397,0.04296,0.03656
621.51,0.07798,0.06374,0.04276,0.03643
621.96,0.07769,0.06352,0.04257,0.03633
622.41,0.07739,0.06327,0.04234,0.03624
622.86,0.07709,0.06304,0.04209,0.03607
623.3,0.07678,0.06281,0.04192,0.0359
623.75,0.07646,0.0626,0.04176,0.03572
624.2,0.07613,0.06236,0.04161,0.03554
624.65,0.07581,0.06212,0.04143,0.03532
625.1,0.07548,0.06186,0.04129,0.03509
625.54,0.07514,0.06161,0.04115,0.03486
625.99,0.07479,0.06137,0.04097,0.03461
626.44,0.07442,0.06114,0.0407,0.03433
626.89,0.07403,0.0609,0.04043,0.03403
627.34,0.07362,0.06067,0.04013,0.03374
627.78,0.07319,0.06041,0.03984,0.03349
628.23,0.07274,0.06017,0.03956,0.03318
628.68,0.07227,0.05994,0.03932,0.03292
629.13,0.07181,0.05969,0.0391,0.03271
629.58,0.07135,0.05946,0.03888,0.03251
630.02,0.07091,0.05922,0.03868,0.03232
630.47,0.0705,0.05894,0.0385,0.03214
630.92,0.07011,0.05868,0.03833,0.032
631.37,0.06974,0.05841,0.03815,0.03187
631.81,0.0694,0.05816,0.03797,0.03175
632.26,0.06908,0.05787,0.03784,0.03164
632.71,0.06877,0.05762,0.03766,0.03153
633.16,0.06847,0.05734,0.03749,0.03142
633.61,0.06816,0.05706,0.03727,0.03127
634.05,0.06786,0.05675,0.03706,0.03113
634.5,0.06755,0.05647,0.03687,0.03104
634.95,0.06723,0.05616,0.03664,0.03095
635.4,0.0669,0.05587,0.0364,0.03082
635.84,0.06654,0.05559,0.03615,0.03069
636.29,0.06617,0.05534,0.03594,0.03055
636.74,0.06579,0.0551,0.03566,0.03039
637.18,0.06543,0.05486,0.03544,0.03027
637.63,0.06508,0.0546,0.0352,0.03012
638.08,0.06474,0.05435,0.03498,0.02998
638.53,0.06444,0.0541,0.03482,0.02983
638.97,0.06416,0.05386,0.03464,0.0297
639.42,0.06391,0.05364,0.03444,0.02953
639.87,0.06366,0.05343,0.03426,0.02936
640.32,0.06343,0.05325,0.03409,0.02916
640.76,0.06319,0.05307,0.03393,0.02896
641.21,0.06297,0.05287,0.03381,0.02879
641.66,0.06274,0.0527,0.03365,0.02863
642.1,0.06249,0.05255,0.03352,0.02847
642.55,0.06223,0.05235,0.03343,0.02833
643,0.06196,0.05217,0.03333,0.02815
643.44,0.06167,0.052,0.03319,0.02801
643.89,0.06137,0.05182,0.03304,0.02786
644.34,0.06107,0.05163,0.03283,0.02767
644.79,0.06077,0.05141,0.03265,0.02751
645.23,0.06049,0.05121,0.03251,0.02735
645.68,0.06022,0.05097,0.03239,0.0272
646.13,0.05995,0.05071,0.03228,0.02706
646.57,0.05968,0.05046,0.03218,0.02697
647.02,0.05942,0.0502,0.03207,0.02687
647.47,0.05917,0.04998,0.03195,0.02674
